symbol;probability;information
<ARP, 10.2.200.41>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.93>;0.000786747672538;10.311811374
<ARP, 10.2.203.130>;0.00013112461209;12.8967738747
<ARP, 10.2.203.154>;4.37082040299e-05;14.4817363754
<ARP, 10.2.0.185>;0.00944097207046;6.72684887327
<ARP, 10.2.200.213>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.68>;0.000874164080598;10.1598082805
<ARP, 10.2.202.114>;0.000655623060448;10.5748457798
<ARP, 10.2.200.15>;0.000393373836269;11.311811374
<ARP, 10.2.202.119>;0.000349665632239;11.4817363754
<ARP, 10.2.201.179>;8.74164080598e-05;13.4817363754
<ARP, 10.2.2.17>;0.000611914856419;10.6743814534
<ARP, 10.2.6.2>;0.00205428558941;8.92714752376
<ARP, 10.2.4.24>;0.00201057738538;8.95817441938
<ARP, 10.2.200.193>;4.37082040299e-05;14.4817363754
<ARP, 10.2.0.16>;0.00594431574807;7.39427353418
<ARP, 10.2.3.2>;0.00166091175314;9.23380886199
<ARP, 10.2.202.141>;0.000437082040299;11.1598082805
<ARP, 10.2.0.3>;0.00297215787403;8.39427353418
<ARP, 169.254.218.144>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.56>;0.00100528869269;9.95817441938
<ARP, 10.2.0.67>;0.0222911840552;5.48738293858
<ARP, 10.2.201.53>;0.000743039468508;10.3942735342
<ARP, 169.254.137.12>;0.000480790244329;11.0223047568
<ARP, 10.2.0.251>;8.74164080598e-05;13.4817363754
<ARP, 10.2.6.254>;0.00017483281612;12.4817363754
<ARP, 10.2.4.22>;0.00179203636523;9.12418437082
<ARP, 10.2.6.14>;0.00183574456926;9.08941895266
<ARP, 10.2.7.17>;0.00209799379344;8.89677387471
<ARP, 169.254.132.251>;0.000349665632239;11.4817363754
<ARP, 10.2.201.187>;0.00778006031732;7.00600294447
<ARP, 10.2.1.249>;0.00017483281612;12.4817363754
<ARP, 10.2.203.167>;0.00109270510075;9.83788018566
<ARP, 10.2.1.13>;0.00157349534508;9.31181137399
<ARP, 10.2.6.20>;0.0017483281612;9.15980828055
<ARP, 10.2.4.6>;0.00170461995717;9.19633415657
<ARP, 10.2.203.149>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.71>;0.000393373836269;11.311811374
<ARP, 10.2.203.51>;0.000917872284628;10.0894189527
<ARP, 10.2.200.22>;0.000262249224179;11.8967738747
<ARP, 10.2.5.7>;4.37082040299e-05;14.4817363754
<ARP, 10.2.6.4>;0.00196686918135;8.9898832791
<ARP, 10.2.202.152>;0.000262249224179;11.8967738747
<ARP, 10.2.202.91>;0.000349665632239;11.4817363754
<ARP, 10.2.202.197>;0.000437082040299;11.1598082805
<ARP, 10.2.201.14>;0.00104899689672;9.89677387471
<ARP, 10.2.200.71>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.9>;0.000743039468508;10.3942735342
<ARP, 10.2.200.101>;0.00013112461209;12.8967738747
<ARP, 10.2.203.20>;0.00017483281612;12.4817363754
<ARP, 10.2.2.250>;0.0134621268412;6.21494983474
<ARP, 10.2.201.48>;0.00100528869269;9.95817441938
<ARP, 10.2.201.60>;8.74164080598e-05;13.4817363754
<ARP, 10.2.7.7>;0.00144237073299;9.43734225608
<ARP, 10.2.0.191>;0.0235150137681;5.41027401288
<ARP, 10.0.0.253>;0.000830455876568;10.233808862
<ARP, 10.2.201.84>;0.00109270510075;9.83788018566
<ARP, 10.2.201.246>;0.000524498448359;10.8967738747
<ARP, 10.2.7.12>;0.00113641330478;9.78129665729
<ARP, 10.2.200.9>;0.00118012150881;9.72684887327
<ARP, 10.2.5.21>;0.000480790244329;11.0223047568
<ARP, 169.254.35.34>;0.00013112461209;12.8967738747
<ARP, 10.2.203.58>;4.37082040299e-05;14.4817363754
