ip_address,rtt,type,hop_num
192.168.0.1,12.183,11,1
192.168.0.1,12.143,11,1
192.168.0.1,11.932,11,1
192.168.0.1,12.333,11,1
192.168.0.1,10.44,11,1
192.168.0.1,11.086,11,1
null,null,null,1
192.168.0.1,12.35,11,1
null,null,null,1
192.168.0.1,12.833,11,1
null,null,null,1
192.168.0.1,11.558,11,1
null,null,null,1
192.168.0.1,10.397,11,1
null,null,null,1
192.168.0.1,14.672,11,1
null,null,null,1
192.168.0.1,12.648,11,1
192.168.0.1,11.937,11,1
null,null,null,1
192.168.0.1,12.497,11,1
null,null,null,1
192.168.0.1,11.973,11,1
null,null,null,1
192.168.0.1,11.983,11,1
null,null,null,1
192.168.0.1,12.525,11,1
null,null,null,1
192.168.0.1,11.56,11,1
null,null,null,1
192.168.0.1,13.68,11,1
null,null,null,1
192.168.0.1,12.134,11,1
192.168.0.1,12.223,11,1
null,null,null,1
192.168.0.1,11.898,11,1
null,null,null,1
192.168.0.1,13.106,11,1
null,null,null,1
192.168.0.1,12.108,11,1
null,null,null,1
192.168.0.1,12.364,11,1
null,null,null,1
192.168.0.1,11.828,11,1
null,null,null,1
192.168.0.1,15.076,11,1
null,null,null,1
192.168.0.1,12.463,11,1
null,null,null,1
192.168.0.1,12.84,11,1
192.168.0.1,11.244,11,1
null,null,null,1
192.168.0.1,12.065,11,1
null,null,null,1
192.168.0.1,12.006,11,1
null,null,null,1
192.168.0.1,13.462,11,1
null,null,null,1
192.168.0.1,13.166,11,1
null,null,null,1
192.168.0.1,12.718,11,1
null,null,null,1
192.168.0.1,11.685,11,1
null,null,null,1
192.168.0.1,12.736,11,1
null,null,null,1
192.168.0.1,11.209,11,1
192.168.0.1,10.83,11,1
null,null,null,1
192.168.0.1,12.37,11,1
null,null,null,1
192.168.0.1,11.676,11,1
null,null,null,1
192.168.0.1,11.507,11,1
null,null,null,1
192.168.0.1,11.758,11,1
null,null,null,1
192.168.0.1,11.839,11,1
null,null,null,1
192.168.0.1,12.42,11,1
null,null,null,1
192.168.0.1,13.702,11,1
192.168.0.1,12.576,11,1
null,null,null,1
192.168.0.1,12.656,11,1
null,null,null,1
192.168.0.1,11.329,11,1
null,null,null,1
192.168.0.1,13.181,11,1
null,null,null,1
192.168.0.1,13.108,11,1
null,null,null,1
192.168.0.1,12.887,11,1
192.168.0.1,13.783,11,1
null,null,null,1
192.168.0.1,16.263,11,1
null,null,null,1
192.168.0.1,12.13,11,1
null,null,null,1
192.168.0.1,12.682,11,1
192.168.2.1,13.546,11,2
192.168.2.1,11.142,11,2
192.168.2.1,12.206,11,2
192.168.2.1,11.495,11,2
192.168.2.1,12.971,11,2
192.168.2.1,11.233,11,2
null,null,null,2
192.168.2.1,12.887,11,2
null,null,null,2
192.168.2.1,12.167,11,2
null,null,null,2
192.168.2.1,12.511,11,2
null,null,null,2
192.168.2.1,12.265,11,2
null,null,null,2
192.168.2.1,14.251,11,2
192.168.2.1,12.271,11,2
null,null,null,2
192.168.2.1,12.698,11,2
null,null,null,2
192.168.2.1,11.566,11,2
null,null,null,2
192.168.2.1,12.799,11,2
null,null,null,2
192.168.2.1,11.789,11,2
null,null,null,2
192.168.2.1,13.327,11,2
null,null,null,2
192.168.2.1,15.103,11,2
null,null,null,2
192.168.2.1,13.26,11,2
null,null,null,2
192.168.2.1,11.525,11,2
192.168.2.1,10.412,11,2
null,null,null,2
192.168.2.1,11.897,11,2
null,null,null,2
192.168.2.1,12.521,11,2
null,null,null,2
192.168.2.1,11.87,11,2
null,null,null,2
192.168.2.1,12.156,11,2
null,null,null,2
192.168.2.1,14.986,11,2
null,null,null,2
192.168.2.1,16.379,11,2
null,null,null,2
192.168.2.1,12.773,11,2
192.168.2.1,11.589,11,2
null,null,null,2
192.168.2.1,11.998,11,2
null,null,null,2
192.168.2.1,12.751,11,2
null,null,null,2
192.168.2.1,15.414,11,2
null,null,null,2
192.168.2.1,12.643,11,2
null,null,null,2
192.168.2.1,11.716,11,2
null,null,null,2
192.168.2.1,12.652,11,2
null,null,null,2
192.168.2.1,12.53,11,2
192.168.2.1,52.191,11,2
null,null,null,2
192.168.2.1,12.567,11,2
null,null,null,2
192.168.2.1,12.703,11,2
null,null,null,2
192.168.2.1,12.312,11,2
null,null,null,2
192.168.2.1,11.428,11,2
null,null,null,2
192.168.2.1,13.173,11,2
null,null,null,2
192.168.2.1,12.922,11,2
null,null,null,2
192.168.2.1,12.602,11,2
192.168.2.1,11.384,11,2
null,null,null,2
192.168.2.1,12.674,11,2
null,null,null,2
192.168.2.1,12.703,11,2
null,null,null,2
192.168.2.1,12.785,11,2
null,null,null,2
192.168.2.1,13.153,11,2
null,null,null,2
