ip_address,rtt,type,hop_num
192.168.0.1,16.605,11,1
192.168.0.1,10.246,11,1
192.168.0.1,10.726,11,1
192.168.0.1,10.561,11,1
192.168.0.1,12.548,11,1
192.168.0.1,11.569,11,1
null,null,null,1
192.168.0.1,10.816,11,1
null,null,null,1
192.168.0.1,13.086,11,1
null,null,null,1
192.168.0.1,12.588,11,1
null,null,null,1
192.168.0.1,12.157,11,1
null,null,null,1
192.168.0.1,13.931,11,1
192.168.0.1,10.875,11,1
null,null,null,1
192.168.0.1,12.169,11,1
null,null,null,1
192.168.0.1,12.404,11,1
null,null,null,1
192.168.0.1,13.008,11,1
null,null,null,1
192.168.0.1,12.065,11,1
null,null,null,1
192.168.0.1,12.453,11,1
null,null,null,1
192.168.0.1,12.48,11,1
null,null,null,1
192.168.0.1,11.62,11,1
192.168.0.1,11.187,11,1
null,null,null,1
192.168.0.1,12.546,11,1
null,null,null,1
192.168.0.1,12.397,11,1
null,null,null,1
192.168.0.1,12.408,11,1
null,null,null,1
192.168.0.1,15.148,11,1
null,null,null,1
192.168.0.1,12.12,11,1
null,null,null,1
192.168.0.1,13.873,11,1
null,null,null,1
192.168.0.1,12.471,11,1
192.168.0.1,11.012,11,1
null,null,null,1
192.168.0.1,11.777,11,1
null,null,null,1
192.168.0.1,14.355,11,1
null,null,null,1
192.168.0.1,11.437,11,1
null,null,null,1
192.168.0.1,12.35,11,1
null,null,null,1
192.168.0.1,11.96,11,1
null,null,null,1
192.168.0.1,12.338,11,1
null,null,null,1
192.168.0.1,11.476,11,1
null,null,null,1
192.168.0.1,11.7,11,1
192.168.0.1,11.098,11,1
null,null,null,1
192.168.0.1,12.277,11,1
null,null,null,1
192.168.0.1,12.733,11,1
null,null,null,1
192.168.0.1,11.877,11,1
null,null,null,1
192.168.0.1,12.352,11,1
null,null,null,1
192.168.0.1,12.301,11,1
null,null,null,1
192.168.0.1,12.206,11,1
null,null,null,1
192.168.0.1,11.832,11,1
192.168.0.1,11.9,11,1
null,null,null,1
192.168.0.1,11.252,11,1
null,null,null,1
192.168.0.1,11.443,11,1
null,null,null,1
192.168.0.1,12.205,11,1
null,null,null,1
192.168.0.1,13.555,11,1
null,null,null,1
192.168.0.1,11.431,11,1
null,null,null,1
192.168.0.1,12.346,11,1
null,null,null,1
192.168.0.1,12.721,11,1
null,null,null,1
192.168.0.1,12.465,11,1
192.168.0.1,12.808,11,1
null,null,null,1
192.168.0.1,10.829,11,1
null,null,null,1
192.168.0.1,11.63,11,1
192.168.2.1,10.328,11,2
192.168.2.1,10.866,11,2
192.168.2.1,12.198,11,2
192.168.2.1,11.198,11,2
192.168.2.1,11.977,11,2
192.168.2.1,11.544,11,2
null,null,null,2
192.168.2.1,12.62,11,2
null,null,null,2
192.168.2.1,11.162,11,2
null,null,null,2
192.168.2.1,12.32,11,2
null,null,null,2
192.168.2.1,12.781,11,2
null,null,null,2
192.168.2.1,14.361,11,2
null,null,null,2
192.168.2.1,12.499,11,2
192.168.2.1,11.771,11,2
null,null,null,2
192.168.2.1,12.05,11,2
null,null,null,2
192.168.2.1,15.246,11,2
null,null,null,2
192.168.2.1,15.154,11,2
null,null,null,2
192.168.2.1,16.701,11,2
null,null,null,2
192.168.2.1,17.047,11,2
null,null,null,2
192.168.2.1,16.392,11,2
192.168.2.1,14.323,11,2
null,null,null,2
192.168.2.1,15.633,11,2
null,null,null,2
192.168.2.1,15.319,11,2
null,null,null,2
192.168.2.1,16.165,11,2
null,null,null,2
192.168.2.1,16.476,11,2
null,null,null,2
192.168.2.1,15.374,11,2
null,null,null,2
192.168.2.1,15.453,11,2
null,null,null,2
192.168.2.1,18.177,11,2
192.168.2.1,12.7,11,2
null,null,null,2
192.168.2.1,16.258,11,2
null,null,null,2
192.168.2.1,15.896,11,2
null,null,null,2
192.168.2.1,14.091,11,2
null,null,null,2
192.168.2.1,14.505,11,2
null,null,null,2
192.168.2.1,14.713,11,2
null,null,null,2
192.168.2.1,14.568,11,2
null,null,null,2
192.168.2.1,16.014,11,2
192.168.2.1,15.377,11,2
null,null,null,2
192.168.2.1,15.76,11,2
null,null,null,2
192.168.2.1,15.131,11,2
null,null,null,2
192.168.2.1,15.374,11,2
null,null,null,2
192.168.2.1,14.541,11,2
null,null,null,2
192.168.2.1,14.483,11,2
null,null,null,2
192.168.2.1,14.305,11,2
null,null,null,2
192.168.2.1,17.228,11,2
192.168.2.1,14.325,11,2
null,null,null,2
192.168.2.1,14.607,11,2
null,null,null,2
192.168.2.1,15.344,11,2
null,null,null,2
192.168.2.1,15.302,11,2
null,null,null,2
192.168.2.1,15.936,11,2
null,null,null,2
192.168.2.1,15.57,11,2
null,null,null,2
192.168.2.1,14.985,11,2
null,null,null,2
192.168.2.1,14.855,11,2
192.168.2.1,15.802,11,2
null,null,null,2
192.168.2.1,16.725,11,2
null,null,null,2
192.168.2.1,14.612,11,2
null,null,null,2
192.168.2.1,15.306,11,2
null,null,null,2
192.168.2.1,16.605,11,2
172.16.128.1,14.37,11,3
172.16.128.1,16.614,11,3
172.16.128.1,14.865,11,3
172.16.128.1,16.403,11,3
172.16.128.1,15.985,11,3
172.16.128.1,15.722,11,3
172.16.128.1,17.304,11,3
172.16.128.1,15.825,11,3
172.16.128.1,16.406,11,3
172.16.128.1,16.578,11,3
172.16.128.1,17.259,11,3
172.16.128.1,16.631,11,3
172.16.128.1,16.593,11,3
172.16.128.1,16.132,11,3
172.16.128.1,16.219,11,3
172.16.128.1,17.326,11,3
172.16.128.1,16.855,11,3
172.16.128.1,16.012,11,3
172.16.128.1,16.725,11,3
172.16.128.1,18.13,11,3
172.16.128.1,15.951,11,3
172.16.128.1,15.099,11,3
172.16.128.1,16.742,11,3
172.16.128.1,19.744,11,3
172.16.128.1,24.243,11,3
172.16.128.1,23.858,11,3
172.16.128.1,22.806,11,3
172.16.128.1,16.38,11,3
172.16.128.1,17.531,11,3
172.16.128.1,16.546,11,3
172.16.128.1,16.187,11,3
172.16.128.1,16.295,11,3
172.16.128.1,16.298,11,3
172.16.128.1,19.306,11,3
172.16.128.1,16.511,11,3
172.16.128.1,17.181,11,3
172.16.128.1,16.093,11,3
172.16.128.1,16.921,11,3
172.16.128.1,17.223,11,3
172.16.128.1,17.408,11,3
172.16.128.1,15.793,11,3
null,null,null,3
172.16.128.1,18.02,11,3
172.16.128.1,17.189,11,3
172.16.128.1,15.339,11,3
172.16.128.1,16.432,11,3
172.16.128.1,15.57,11,3
172.16.128.1,16.087,11,3
172.16.128.1,15.866,11,3
172.16.128.1,17.095,11,3
172.16.128.1,15.445,11,3
172.16.128.1,18.186,11,3
172.16.128.1,16.32,11,3
172.16.128.1,14.943,11,3
172.16.128.1,16.666,11,3
172.16.128.1,15.457,11,3
172.16.128.1,16.306,11,3
172.16.128.1,14.905,11,3
172.16.128.1,13.547,11,3
172.16.128.1,14.645,11,3
172.16.128.1,15.881,11,3
172.16.128.1,14.455,11,3
172.16.128.1,14.617,11,3
172.16.128.1,15.26,11,3
172.16.128.1,15.071,11,3
172.16.128.1,13.986,11,3
172.16.128.1,16.118,11,3
172.16.128.1,15.269,11,3
172.16.128.1,14.304,11,3
172.16.128.1,17.172,11,3
172.16.128.1,13.937,11,3
172.16.128.1,13.692,11,3
172.16.128.1,14.406,11,3
172.16.128.1,13.315,11,3
172.16.128.1,15.469,11,3
172.16.128.1,15.139,11,3
172.16.128.1,14.624,11,3
172.16.128.1,14.278,11,3
172.16.128.1,14.6,11,3
172.16.128.1,13.322,11,3
172.16.128.1,14.528,11,3
172.16.128.1,14.336,11,3
172.16.128.1,14.706,11,3
172.16.128.1,14.812,11,3
172.16.128.1,14.177,11,3
172.16.128.1,13.164,11,3
172.16.128.1,14.265,11,3
172.16.128.1,14.55,11,3
172.16.128.1,14.131,11,3
172.16.128.1,15.865,11,3
172.16.128.1,13.875,11,3
172.16.128.1,14.001,11,3
172.16.128.1,14.428,11,3
172.16.128.1,14.346,11,3
172.16.128.1,15.453,11,3
172.16.128.1,14.527,11,3
172.16.128.1,15.545,11,3
172.16.128.1,14.818,11,3
172.16.128.1,15.036,11,3
172.16.128.1,14.72,11,3
10.0.13.1,12.863,11,4
10.0.13.1,15.148,11,4
10.0.13.1,15.144,11,4
10.0.13.1,14.893,11,4
10.0.13.1,15.749,11,4
10.0.13.1,14.963,11,4
10.0.13.1,15.085,11,4
10.0.13.1,14.266,11,4
10.0.13.1,13.982,11,4
10.0.13.1,14.761,11,4
10.0.13.1,14.358,11,4
10.0.13.1,14.229,11,4
10.0.13.1,15.089,11,4
10.0.13.1,14.453,11,4
10.0.13.1,13.896,11,4
10.0.13.1,14.161,11,4
10.0.13.1,15.325,11,4
10.0.13.1,12.326,11,4
10.0.13.1,14.092,11,4
10.0.13.1,14.698,11,4
10.0.13.1,15.249,11,4
10.0.13.1,14.361,11,4
10.0.13.1,14.11,11,4
10.0.13.1,14.604,11,4
10.0.13.1,15.104,11,4
10.0.13.1,13.969,11,4
10.0.13.1,16.171,11,4
10.0.13.1,13.56,11,4
10.0.13.1,14.609,11,4
10.0.13.1,13.836,11,4
10.0.13.1,15.214,11,4
10.0.13.1,14.962,11,4
10.0.13.1,17.26,11,4
10.0.13.1,15.204,11,4
10.0.13.1,14.887,11,4
10.0.13.1,12.89,11,4
10.0.13.1,13.38,11,4
10.0.13.1,14.283,11,4
10.0.13.1,14.887,11,4
10.0.13.1,12.825,11,4
10.0.13.1,17.245,11,4
10.0.13.1,15.166,11,4
10.0.13.1,14.921,11,4
10.0.13.1,14.384,11,4
10.0.13.1,18.495,11,4
10.0.13.1,19.321,11,4
10.0.13.1,16.207,11,4
10.0.13.1,13.981,11,4
10.0.13.1,17.405,11,4
10.0.13.1,14.898,11,4
10.0.13.1,13.569,11,4
10.0.13.1,13.943,11,4
10.0.13.1,17.943,11,4
10.0.13.1,13.416,11,4
10.0.13.1,15.463,11,4
10.0.13.1,15.721,11,4
10.0.13.1,14.804,11,4
10.0.13.1,15.987,11,4
10.0.13.1,15.399,11,4
10.0.13.1,15.319,11,4
10.0.13.1,14.054,11,4
10.0.13.1,14.658,11,4
10.0.13.1,15.355,11,4
10.0.13.1,15.176,11,4
10.0.13.1,15.558,11,4
10.0.13.1,15.887,11,4
10.0.13.1,16.799,11,4
10.0.13.1,14.183,11,4
10.0.13.1,15.515,11,4
10.0.13.1,15.534,11,4
10.0.13.1,14.577,11,4
10.0.13.1,13.287,11,4
10.0.13.1,15.665,11,4
10.0.13.1,14.533,11,4
10.0.13.1,13.238,11,4
10.0.13.1,15.149,11,4
10.0.13.1,15.368,11,4
10.0.13.1,16.063,11,4
10.0.13.1,15.697,11,4
10.0.13.1,14.479,11,4
