ip_address,rtt,type,hop_num
192.168.0.1,7.131,11,1
192.168.0.1,7.732,11,1
192.168.0.1,11.516,11,1
192.168.0.1,9.829,11,1
192.168.0.1,9.973,11,1
192.168.0.1,9.592,11,1
null,null,null,1
192.168.0.1,11.533,11,1
null,null,null,1
192.168.0.1,11.82,11,1
null,null,null,1
192.168.0.1,11.845,11,1
null,null,null,1
192.168.0.1,10.774,11,1
null,null,null,1
192.168.0.1,12.41,11,1
192.168.0.1,11.204,11,1
null,null,null,1
192.168.0.1,11.787,11,1
null,null,null,1
192.168.0.1,14.674,11,1
null,null,null,1
192.168.0.1,12.124,11,1
null,null,null,1
192.168.0.1,13.92,11,1
null,null,null,1
192.168.0.1,10.863,11,1
null,null,null,1
192.168.0.1,10.872,11,1
null,null,null,1
192.168.0.1,10.765,11,1
192.168.0.1,12.255,11,1
null,null,null,1
192.168.0.1,12.788,11,1
null,null,null,1
192.168.0.1,10.855,11,1
null,null,null,1
192.168.0.1,13.931,11,1
null,null,null,1
192.168.0.1,16.01,11,1
null,null,null,1
192.168.0.1,11.618,11,1
null,null,null,1
192.168.0.1,10.763,11,1
null,null,null,1
192.168.0.1,10.942,11,1
192.168.0.1,12.432,11,1
null,null,null,1
192.168.0.1,9.836,11,1
null,null,null,1
192.168.0.1,9.995,11,1
null,null,null,1
192.168.0.1,10.771,11,1
null,null,null,1
192.168.0.1,10.683,11,1
null,null,null,1
192.168.0.1,12.764,11,1
null,null,null,1
192.168.0.1,12.622,11,1
null,null,null,1
192.168.0.1,13.059,11,1
192.168.0.1,9.347,11,1
192.168.0.1,8.779,11,1
192.168.0.1,10.166,11,1
192.168.0.1,9.984,11,1
192.168.0.1,11.475,11,1
null,null,null,1
192.168.0.1,12.155,11,1
null,null,null,1
192.168.0.1,10.73,11,1
null,null,null,1
192.168.0.1,10.305,11,1
null,null,null,1
192.168.0.1,14.097,11,1
null,null,null,1
192.168.0.1,10.815,11,1
null,null,null,1
192.168.0.1,10.877,11,1
192.168.0.1,9.859,11,1
null,null,null,1
192.168.0.1,11.77,11,1
null,null,null,1
192.168.0.1,11.794,11,1
null,null,null,1
192.168.0.1,13.755,11,1
null,null,null,1
192.168.0.1,14.889,11,1
null,null,null,1
192.168.0.1,11.133,11,1
null,null,null,1
192.168.0.1,12.1,11,1
null,null,null,1
192.168.0.1,10.187,11,1
192.168.0.1,13.616,11,1
null,null,null,1
192.168.0.1,11.946,11,1
null,null,null,1
192.168.0.1,13.051,11,1
null,null,null,1
192.168.0.1,11.477,11,1
192.168.2.1,9.356,11,2
192.168.2.1,10.421,11,2
192.168.2.1,10.546,11,2
192.168.2.1,9.201,11,2
192.168.2.1,8.042,11,2
192.168.2.1,10.42,11,2
null,null,null,2
192.168.2.1,11.231,11,2
null,null,null,2
192.168.2.1,13.048,11,2
null,null,null,2
192.168.2.1,11.785,11,2
null,null,null,2
192.168.2.1,17.749,11,2
null,null,null,2
192.168.2.1,10.656,11,2
192.168.2.1,10.736,11,2
null,null,null,2
192.168.2.1,10.022,11,2
null,null,null,2
192.168.2.1,11.586,11,2
null,null,null,2
192.168.2.1,11.704,11,2
null,null,null,2
192.168.2.1,11.364,11,2
null,null,null,2
192.168.2.1,11.865,11,2
null,null,null,2
192.168.2.1,11.949,11,2
null,null,null,2
192.168.2.1,13.39,11,2
null,null,null,2
192.168.2.1,48.155,11,2
192.168.2.1,12.182,11,2
null,null,null,2
192.168.2.1,12.516,11,2
null,null,null,2
192.168.2.1,12.1,11,2
null,null,null,2
192.168.2.1,11.61,11,2
null,null,null,2
192.168.2.1,11.336,11,2
null,null,null,2
192.168.2.1,10.903,11,2
null,null,null,2
192.168.2.1,12.412,11,2
null,null,null,2
192.168.2.1,12.241,11,2
192.168.2.1,8.546,11,2
null,null,null,2
192.168.2.1,12.594,11,2
null,null,null,2
192.168.2.1,11.382,11,2
null,null,null,2
192.168.2.1,13.565,11,2
null,null,null,2
192.168.2.1,12.52,11,2
null,null,null,2
192.168.2.1,12.724,11,2
null,null,null,2
192.168.2.1,11.891,11,2
null,null,null,2
192.168.2.1,12.9,11,2
192.168.2.1,9.142,11,2
null,null,null,2
192.168.2.1,12.541,11,2
null,null,null,2
192.168.2.1,11.015,11,2
null,null,null,2
192.168.2.1,12.537,11,2
null,null,null,2
192.168.2.1,12.688,11,2
null,null,null,2
192.168.2.1,12.687,11,2
null,null,null,2
192.168.2.1,13.383,11,2
null,null,null,2
192.168.2.1,11.835,11,2
192.168.2.1,10.006,11,2
null,null,null,2
192.168.2.1,16.768,11,2
null,null,null,2
192.168.2.1,12.389,11,2
null,null,null,2
192.168.2.1,11.498,11,2
null,null,null,2
192.168.2.1,11.572,11,2
null,null,null,2
192.168.2.1,15.741,11,2
null,null,null,2
192.168.2.1,12.783,11,2
null,null,null,2
192.168.2.1,12.806,11,2
192.168.2.1,10.435,11,2
null,null,null,2
192.168.2.1,15.338,11,2
null,null,null,2
192.168.2.1,10.844,11,2
null,null,null,2
192.168.2.1,10.188,11,2
172.16.128.1,44.858,11,3
172.16.128.1,11.412,11,3
172.16.128.1,14.236,11,3
172.16.128.1,16.986,11,3
172.16.128.1,14.453,11,3
172.16.128.1,13.395,11,3
172.16.128.1,12.741,11,3
172.16.128.1,16.921,11,3
172.16.128.1,12.126,11,3
172.16.128.1,12.84,11,3
172.16.128.1,12.976,11,3
172.16.128.1,19.399,11,3
172.16.128.1,12.98,11,3
172.16.128.1,10.628,11,3
172.16.128.1,12.303,11,3
172.16.128.1,13.615,11,3
172.16.128.1,13.599,11,3
172.16.128.1,12.31,11,3
172.16.128.1,13.985,11,3
172.16.128.1,17.479,11,3
172.16.128.1,14.174,11,3
172.16.128.1,18.841,11,3
172.16.128.1,16.161,11,3
172.16.128.1,14.921,11,3
172.16.128.1,16.7,11,3
172.16.128.1,21.535,11,3
172.16.128.1,12.135,11,3
172.16.128.1,12.842,11,3
172.16.128.1,12.744,11,3
172.16.128.1,13.439,11,3
172.16.128.1,10.898,11,3
172.16.128.1,10.362,11,3
172.16.128.1,11.688,11,3
172.16.128.1,13.17,11,3
172.16.128.1,14.721,11,3
172.16.128.1,12.145,11,3
172.16.128.1,9.839,11,3
172.16.128.1,11.78,11,3
172.16.128.1,12.605,11,3
172.16.128.1,13.393,11,3
172.16.128.1,12.955,11,3
172.16.128.1,12.002,11,3
172.16.128.1,12.112,11,3
172.16.128.1,15.005,11,3
172.16.128.1,12.133,11,3
172.16.128.1,12.895,11,3
172.16.128.1,11.664,11,3
172.16.128.1,12.281,11,3
172.16.128.1,13.336,11,3
172.16.128.1,12.302,11,3
172.16.128.1,11.597,11,3
172.16.128.1,12.792,11,3
172.16.128.1,15.302,11,3
172.16.128.1,10.875,11,3
172.16.128.1,11.637,11,3
172.16.128.1,10.534,11,3
172.16.128.1,12.447,11,3
