ip_address,rtt,type,hop_num
192.168.0.1,8.869,11,1
192.168.0.1,11.886,11,1
192.168.0.1,12.662,11,1
192.168.0.1,10.882,11,1
192.168.0.1,11.334,11,1
192.168.0.1,11.148,11,1
null,null,null,1
192.168.0.1,11.848,11,1
null,null,null,1
192.168.0.1,11.187,11,1
null,null,null,1
192.168.0.1,12.266,11,1
null,null,null,1
192.168.0.1,11.533,11,1
null,null,null,1
192.168.0.1,11.658,11,1
null,null,null,1
192.168.0.1,11.683,11,1
192.168.0.1,10.389,11,1
null,null,null,1
192.168.0.1,12.158,11,1
null,null,null,1
192.168.0.1,12.221,11,1
null,null,null,1
192.168.0.1,11.625,11,1
null,null,null,1
192.168.0.1,13.163,11,1
null,null,null,1
192.168.0.1,11.849,11,1
null,null,null,1
192.168.0.1,12.139,11,1
null,null,null,1
192.168.0.1,10.86,11,1
null,null,null,1
192.168.0.1,12.093,11,1
192.168.0.1,12.315,11,1
null,null,null,1
192.168.0.1,11.857,11,1
null,null,null,1
192.168.0.1,11.905,11,1
null,null,null,1
192.168.0.1,11.377,11,1
null,null,null,1
192.168.0.1,5.881,11,1
null,null,null,1
192.168.0.1,12.234,11,1
null,null,null,1
192.168.0.1,12.111,11,1
null,null,null,1
192.168.0.1,11.715,11,1
192.168.0.1,11.518,11,1
null,null,null,1
192.168.0.1,12.739,11,1
null,null,null,1
192.168.0.1,13.985,11,1
null,null,null,1
192.168.0.1,12.426,11,1
null,null,null,1
192.168.0.1,11.509,11,1
null,null,null,1
192.168.0.1,12.549,11,1
null,null,null,1
192.168.0.1,11.716,11,1
null,null,null,1
192.168.0.1,12.336,11,1
null,null,null,1
192.168.0.1,12.753,11,1
192.168.0.1,11.753,11,1
null,null,null,1
192.168.0.1,13.023,11,1
null,null,null,1
192.168.0.1,12.358,11,1
null,null,null,1
192.168.0.1,11.43,11,1
null,null,null,1
192.168.0.1,13.278,11,1
null,null,null,1
192.168.0.1,11.5,11,1
null,null,null,1
192.168.0.1,11.877,11,1
null,null,null,1
192.168.0.1,15.971,11,1
null,null,null,1
192.168.0.1,15.201,11,1
192.168.0.1,11.295,11,1
null,null,null,1
192.168.0.1,11.288,11,1
null,null,null,1
192.168.0.1,12.326,11,1
null,null,null,1
192.168.0.1,12.081,11,1
null,null,null,1
192.168.0.1,13.375,11,1
null,null,null,1
192.168.0.1,11.278,11,1
null,null,null,1
192.168.0.1,12.351,11,1
null,null,null,1
192.168.0.1,11.748,11,1
null,null,null,1
192.168.2.1,12.678,11,2
192.168.2.1,12.0,11,2
192.168.2.1,11.342,11,2
192.168.2.1,12.057,11,2
192.168.2.1,12.219,11,2
192.168.2.1,10.104,11,2
null,null,null,2
192.168.2.1,11.83,11,2
null,null,null,2
192.168.2.1,12.554,11,2
null,null,null,2
192.168.2.1,11.76,11,2
null,null,null,2
192.168.2.1,11.821,11,2
null,null,null,2
192.168.2.1,12.519,11,2
192.168.2.1,12.55,11,2
null,null,null,2
192.168.2.1,11.66,11,2
null,null,null,2
192.168.2.1,12.671,11,2
null,null,null,2
192.168.2.1,11.646,11,2
null,null,null,2
192.168.2.1,13.087,11,2
null,null,null,2
192.168.2.1,14.3,11,2
null,null,null,2
192.168.2.1,11.994,11,2
null,null,null,2
192.168.2.1,11.95,11,2
null,null,null,2
192.168.2.1,12.029,11,2
192.168.2.1,37.985,11,2
null,null,null,2
192.168.2.1,11.608,11,2
null,null,null,2
192.168.2.1,11.286,11,2
null,null,null,2
192.168.2.1,11.13,11,2
null,null,null,2
192.168.2.1,11.962,11,2
null,null,null,2
192.168.2.1,11.82,11,2
null,null,null,2
192.168.2.1,12.624,11,2
192.168.2.1,11.027,11,2
null,null,null,2
192.168.2.1,12.557,11,2
null,null,null,2
192.168.2.1,12.484,11,2
null,null,null,2
192.168.2.1,12.061,11,2
null,null,null,2
192.168.2.1,13.065,11,2
null,null,null,2
192.168.2.1,10.664,11,2
null,null,null,2
192.168.2.1,12.125,11,2
192.168.2.1,10.299,11,2
null,null,null,2
192.168.2.1,12.956,11,2
null,null,null,2
192.168.2.1,11.497,11,2
null,null,null,2
192.168.2.1,11.33,11,2
null,null,null,2
192.168.2.1,11.703,11,2
null,null,null,2
192.168.2.1,11.677,11,2
null,null,null,2
192.168.2.1,12.801,11,2
null,null,null,2
192.168.2.1,10.427,11,2
null,null,null,2
192.168.2.1,17.947,11,2
192.168.2.1,22.694,11,2
null,null,null,2
192.168.2.1,17.933,11,2
null,null,null,2
192.168.2.1,28.765,11,2
null,null,null,2
192.168.2.1,23.251,11,2
null,null,null,2
192.168.2.1,22.17,11,2
null,null,null,2
192.168.2.1,16.921,11,2
null,null,null,2
192.168.2.1,17.561,11,2
null,null,null,2
192.168.2.1,19.316,11,2
192.168.2.1,13.26,11,2
null,null,null,2
192.168.2.1,19.461,11,2
null,null,null,2
192.168.2.1,16.889,11,2
null,null,null,2
192.168.2.1,17.433,11,2
null,null,null,2
192.168.2.1,18.237,11,2
172.16.128.1,119.937,11,3
172.16.128.1,125.515,11,3
172.16.128.1,99.865,11,3
172.16.128.1,92.58,11,3
172.16.128.1,90.899,11,3
172.16.128.1,9.424,11,3
172.16.128.1,8.42,11,3
172.16.128.1,9.931,11,3
172.16.128.1,8.369,11,3
172.16.128.1,8.714,11,3
172.16.128.1,11.239,11,3
172.16.128.1,6.823,11,3
172.16.128.1,6.33,11,3
172.16.128.1,6.645,11,3
172.16.128.1,5.012,11,3
172.16.128.1,8.561,11,3
172.16.128.1,10.133,11,3
172.16.128.1,7.777,11,3
172.16.128.1,8.231,11,3
172.16.128.1,12.476,11,3
172.16.128.1,8.734,11,3
172.16.128.1,6.512,11,3
172.16.128.1,5.577,11,3
172.16.128.1,5.82,11,3
172.16.128.1,12.234,11,3
172.16.128.1,12.994,11,3
172.16.128.1,11.658,11,3
172.16.128.1,11.563,11,3
172.16.128.1,9.99,11,3
172.16.128.1,12.837,11,3
172.16.128.1,11.033,11,3
172.16.128.1,12.351,11,3
172.16.128.1,9.809,11,3
172.16.128.1,11.369,11,3
172.16.128.1,12.275,11,3
172.16.128.1,11.757,11,3
172.16.128.1,12.182,11,3
172.16.128.1,12.091,11,3
172.16.128.1,11.817,11,3
172.16.128.1,10.731,11,3
172.16.128.1,11.467,11,3
172.16.128.1,9.265,11,3
172.16.128.1,12.012,11,3
172.16.128.1,13.433,11,3
172.16.128.1,11.213,11,3
172.16.128.1,12.523,11,3
172.16.128.1,12.147,11,3
172.16.128.1,11.433,11,3
172.16.128.1,10.668,11,3
172.16.128.1,12.474,11,3
172.16.128.1,12.102,11,3
172.16.128.1,11.973,11,3
172.16.128.1,13.621,11,3
172.16.128.1,9.593,11,3
172.16.128.1,11.704,11,3
172.16.128.1,11.13,11,3
172.16.128.1,11.609,11,3
172.16.128.1,12.141,11,3
172.16.128.1,10.996,11,3
172.16.128.1,11.197,11,3
172.16.128.1,12.724,11,3
172.16.128.1,11.477,11,3
172.16.128.1,12.372,11,3
172.16.128.1,10.949,11,3
172.16.128.1,12.369,11,3
172.16.128.1,11.01,11,3
172.16.128.1,9.677,11,3
172.16.128.1,11.824,11,3
172.16.128.1,11.604,11,3
172.16.128.1,12.289,11,3
172.16.128.1,12.601,11,3
172.16.128.1,11.537,11,3
172.16.128.1,11.771,11,3
172.16.128.1,12.439,11,3
172.16.128.1,11.456,11,3
172.16.128.1,11.746,11,3
172.16.128.1,10.844,11,3
172.16.128.1,11.808,11,3
172.16.128.1,11.654,11,3
172.16.128.1,11.348,11,3
172.16.128.1,12.371,11,3
172.16.128.1,11.206,11,3
172.16.128.1,11.092,11,3
172.16.128.1,11.668,11,3
172.16.128.1,12.158,11,3
172.16.128.1,11.031,11,3
172.16.128.1,11.264,11,3
172.16.128.1,10.52,11,3
172.16.128.1,13.114,11,3
172.16.128.1,12.326,11,3
172.16.128.1,12.446,11,3
172.16.128.1,11.341,11,3
172.16.128.1,12.175,11,3
172.16.128.1,11.271,11,3
172.16.128.1,11.362,11,3
172.16.128.1,12.257,11,3
172.16.128.1,11.142,11,3
172.16.128.1,12.09,11,3
172.16.128.1,12.102,11,3
172.16.128.1,11.247,11,3
10.0.13.1,11.839,11,4
10.0.13.1,12.213,11,4
10.0.13.1,11.454,11,4
10.0.13.1,11.005,11,4
10.0.13.1,11.337,11,4
10.0.13.1,11.121,11,4
10.0.13.1,11.807,11,4
10.0.13.1,12.155,11,4
10.0.13.1,9.837,11,4
10.0.13.1,11.923,11,4
10.0.13.1,11.782,11,4
10.0.13.1,11.6,11,4
10.0.13.1,11.6,11,4
10.0.13.1,11.97,11,4
10.0.13.1,12.005,11,4
10.0.13.1,11.287,11,4
10.0.13.1,12.767,11,4
10.0.13.1,11.146,11,4
10.0.13.1,13.324,11,4
10.0.13.1,12.463,11,4
10.0.13.1,11.33,11,4
10.0.13.1,11.51,11,4
10.0.13.1,12.309,11,4
10.0.13.1,11.407,11,4
10.0.13.1,13.36,11,4
10.0.13.1,11.463,11,4
10.0.13.1,11.431,11,4
10.0.13.1,11.718,11,4
10.0.13.1,11.781,11,4
10.0.13.1,12.685,11,4
10.0.13.1,12.001,11,4
10.0.13.1,12.574,11,4
10.0.13.1,11.523,11,4
10.0.13.1,12.955,11,4
10.0.13.1,12.651,11,4
10.0.13.1,11.63,11,4
10.0.13.1,12.275,11,4
10.0.13.1,11.294,11,4
10.0.13.1,11.13,11,4
10.0.13.1,10.597,11,4
10.0.13.1,13.548,11,4
10.0.13.1,12.179,11,4
10.0.13.1,13.194,11,4
10.0.13.1,11.426,11,4
10.0.13.1,12.055,11,4
10.0.13.1,11.174,11,4
10.0.13.1,10.485,11,4
10.0.13.1,11.455,11,4
10.0.13.1,11.734,11,4
10.0.13.1,11.46,11,4
10.0.13.1,11.21,11,4
10.0.13.1,12.496,11,4
10.0.13.1,10.751,11,4
10.0.13.1,11.101,11,4
10.0.13.1,11.185,11,4
10.0.13.1,11.454,11,4
10.0.13.1,10.831,11,4
10.0.13.1,11.795,11,4
10.0.13.1,9.432,11,4
10.0.13.1,11.82,11,4
10.0.13.1,12.605,11,4
10.0.13.1,10.696,11,4
10.0.13.1,11.831,11,4
10.0.13.1,10.652,11,4
10.0.13.1,11.187,11,4
10.0.13.1,10.828,11,4
10.0.13.1,10.712,11,4
10.0.13.1,10.131,11,4
10.0.13.1,11.654,11,4
10.0.13.1,11.688,11,4
10.0.13.1,8.875,11,4
10.0.13.1,10.322,11,4
10.0.13.1,12.209,11,4
10.0.13.1,12.629,11,4
10.0.13.1,10.437,11,4
10.0.13.1,11.435,11,4
10.0.13.1,10.231,11,4
10.0.13.1,10.998,11,4
10.0.13.1,12.247,11,4
10.0.13.1,10.225,11,4
10.0.13.1,9.291,11,4
10.0.13.1,11.667,11,4
10.0.13.1,10.116,11,4
10.0.13.1,11.345,11,4
10.0.13.1,11.95,11,4
10.0.13.1,11.507,11,4
10.0.13.1,11.493,11,4
10.0.13.1,12.42,11,4
10.0.13.1,12.063,11,4
10.0.13.1,12.203,11,4
10.0.13.1,10.543,11,4
10.0.13.1,11.145,11,4
10.0.13.1,10.889,11,4
10.0.13.1,10.824,11,4
10.0.13.1,12.526,11,4
10.0.13.1,10.958,11,4
10.0.13.1,15.016,11,4
10.0.13.1,11.146,11,4
10.0.13.1,12.486,11,4
10.0.13.1,11.292,11,4
186.0.137.1,11.13,11,5
186.0.137.1,12.563,11,5
186.0.137.1,11.239,11,5
186.0.137.1,11.087,11,5
186.0.137.1,11.365,11,5
186.0.137.1,14.022,11,5
186.0.137.1,11.658,11,5
186.0.137.1,12.869,11,5
186.0.137.1,12.218,11,5
186.0.137.1,12.143,11,5
186.0.137.1,11.188,11,5
186.0.137.1,10.952,11,5
186.0.137.1,10.472,11,5
186.0.137.1,8.827,11,5
186.0.137.1,14.428,11,5
186.0.137.1,10.403,11,5
186.0.137.1,7.976,11,5
186.0.137.1,9.607,11,5
186.0.137.1,12.083,11,5
186.0.137.1,13.135,11,5
186.0.137.1,11.168,11,5
186.0.137.1,10.893,11,5
186.0.137.1,10.314,11,5
186.0.137.1,12.18,11,5
186.0.137.1,11.82,11,5
186.0.137.1,11.323,11,5
186.0.137.1,11.719,11,5
186.0.137.1,11.436,11,5
